respondent_id,country,income_group,survey_year,age_group,gender,education_level,employment_type,urban_rural,genai_usage_frequency,primary_use_case,trust_in_genai_score,fear_of_job_loss_score,ai_should_be_regulated,willing_to_pay_for_genai,monthly_spend_usd,has_experienced_ai_harm,reported_ai_harm,native_language_supported,digital_skills_self_rating,heard_of_hallucination,uses_genai_for_news
SRV-00-2023-0033,United States,High income,2023,45-54,Female,Primary,Employed part-time,Urban,Daily,Personal Assistant,7,3,Agree,1,0.0,0,0,1,6,0,0
SRV-00-2023-0034,United States,High income,2023,35-44,Male,Primary,Employed full-time,Rural,Rarely,Education/Learning,7,8,Agree,1,0.09,0,0,1,9,1,1
SRV-00-2023-0035,United States,High income,2023,18-24,Female,Bachelor,Employed part-time,Rural,Never,Entertainment,6,5,Strongly agree,1,9.63,0,0,1,5,1,0
SRV-00-2023-0036,United States,High income,2023,25-34,Male,Secondary,Unemployed,Urban,Weekly,Research,8,4,Agree,1,0.0,0,0,1,6,1,0
SRV-00-2023-0037,United States,High income,2023,18-24,Female,Secondary,Homemaker,Suburban,Weekly,Coding,4,2,Agree,1,14.17,0,0,1,7,1,0
SRV-00-2023-0038,United States,High income,2023,25-34,Male,Secondary,Employed full-time,Suburban,Never,None,7,4,Agree,0,0.0,0,0,1,6,1,0
SRV-00-2023-0039,United States,High income,2023,35-44,Female,Vocational,Student,Urban,Daily,Work/Productivity,7,6,Agree,1,0.0,0,0,1,7,1,0
SRV-00-2023-0040,United States,High income,2023,45-54,Male,Vocational,Employed full-time,Urban,Weekly,Personal Assistant,6,4,Neutral,0,0.0,0,0,1,8,1,0
SRV-00-2023-0041,United States,High income,2023,35-44,Male,Vocational,Student,Urban,Daily,None,6,6,Agree,1,3.16,0,0,1,8,0,0
SRV-00-2023-0042,United States,High income,2023,45-54,Female,Bachelor,Student,Rural,Daily,Personal Assistant,6,3,Neutral,0,0.0,0,0,1,8,0,0
SRV-00-2023-0043,United States,High income,2023,35-44,Female,Primary,Unemployed,Suburban,Weekly,Personal Assistant,7,5,Strongly agree,0,10.03,0,0,1,7,1,1
SRV-00-2023-0044,United States,High income,2023,35-44,Female,Bachelor,Employed full-time,Urban,Daily,Creative Projects,3,5,Agree,0,0.0,0,0,1,9,0,0
SRV-00-2023-0045,United States,High income,2023,18-24,Male,Secondary,Employed full-time,Urban,Several times/week,Work/Productivity,7,6,Neutral,1,5.68,0,0,1,8,1,0
SRV-00-2023-0046,United States,High income,2023,25-34,Male,Vocational,Employed part-time,Suburban,Never,Creative Projects,7,4,Strongly agree,0,0.0,0,0,1,8,1,0
SRV-00-2023-0047,United States,High income,2023,35-44,Male,Primary,Student,Rural,Daily,Coding,6,2,Agree,0,0.0,0,0,1,7,1,0
SRV-00-2023-0048,United States,High income,2023,55-64,Female,Master,Self-employed,Rural,Several times/week,Entertainment,7,4,Agree,0,13.54,0,0,1,9,0,1
SRV-00-2023-0049,United States,High income,2023,18-24,Female,Bachelor,Student,Urban,Monthly,Coding,6,2,Neutral,0,34.13,0,0,1,5,1,0
SRV-00-2023-0050,United States,High income,2023,25-34,Male,Master,Employed full-time,Urban,Weekly,Healthcare Info,7,4,Strongly agree,1,0.0,0,0,1,5,1,1
SRV-00-2023-0051,United States,High income,2023,25-34,Male,Bachelor,Self-employed,Rural,Daily,Entertainment,7,3,Strongly agree,1,4.52,0,0,1,8,1,0
SRV-00-2023-0052,United States,High income,2023,25-34,Female,Master,Self-employed,Urban,Monthly,Personal Assistant,5,5,Agree,0,5.23,0,0,1,7,1,1
SRV-00-2023-0053,United States,High income,2023,18-24,Male,Vocational,Employed full-time,Suburban,Daily,Healthcare Info,8,9,Neutral,0,1.48,1,0,1,5,1,1
SRV-00-2023-0054,United States,High income,2023,25-34,Male,PhD,Student,Urban,Weekly,Healthcare Info,8,4,Strongly agree,1,3.94,0,1,1,9,1,1
SRV-00-2023-0055,United States,High income,2023,45-54,Male,Bachelor,Unemployed,Urban,Weekly,Personal Assistant,3,5,Disagree,0,6.41,0,0,0,7,1,0
SRV-00-2023-0056,United States,High income,2023,45-54,Male,Bachelor,Student,Urban,Weekly,Education/Learning,7,6,Strongly agree,1,0.0,0,0,1,8,1,1
SRV-00-2023-0057,United States,High income,2023,45-54,Male,Secondary,Employed full-time,Urban,Never,Research,8,5,Strongly agree,1,27.22,0,0,1,8,1,0
SRV-00-2023-0058,United States,High income,2023,25-34,Female,Master,Student,Urban,Rarely,Entertainment,5,4,Neutral,1,0.0,0,0,1,7,0,0
SRV-00-2023-0059,United States,High income,2023,45-54,Female,Secondary,Employed part-time,Rural,Daily,Work/Productivity,7,3,Strongly agree,1,61.87,0,0,1,6,1,0
SRV-00-2023-0060,United States,High income,2023,55-64,Female,Master,Self-employed,Urban,Daily,Entertainment,10,5,Strongly disagree,1,16.46,0,0,1,6,1,0
SRV-00-2023-0061,United States,High income,2023,45-54,Female,PhD,Employed full-time,Urban,Several times/week,Entertainment,6,4,Strongly agree,1,0.0,1,0,1,8,1,0
SRV-00-2023-0062,United States,High income,2023,45-54,Female,Master,Self-employed,Urban,Weekly,Creative Projects,6,6,Neutral,0,0.31,0,0,1,8,1,1
SRV-00-2023-0063,United States,High income,2023,45-54,Male,Bachelor,Self-employed,Urban,Weekly,Creative Projects,5,9,Strongly agree,0,17.29,0,0,1,8,1,0
SRV-00-2023-0064,United States,High income,2023,45-54,Female,Secondary,Employed full-time,Urban,Daily,None,10,3,Agree,0,21.72,0,0,1,3,1,1
SRV-00-2023-0065,United States,High income,2023,45-54,Male,Secondary,Employed full-time,Urban,Daily,Personal Assistant,8,5,Neutral,1,54.8,0,0,1,8,1,1
SRV-00-2023-0066,United States,High income,2023,35-44,Male,Master,Retired,Urban,Several times/week,Work/Productivity,10,1,Disagree,1,6.77,0,0,1,5,1,1
SRV-00-2023-0067,United States,High income,2023,18-24,Male,Vocational,Employed full-time,Urban,Several times/week,Healthcare Info,9,4,Agree,1,10.59,1,0,1,7,1,0
SRV-00-2023-0068,United States,High income,2023,18-24,Female,Secondary,Employed part-time,Urban,Daily,Creative Projects,9,5,Agree,1,27.5,1,0,1,6,0,1
SRV-00-2023-0069,United States,High income,2023,25-34,Male,Vocational,Unemployed,Urban,Daily,Creative Projects,8,6,Strongly agree,0,27.7,0,0,1,7,1,0
SRV-00-2023-0070,United States,High income,2023,45-54,Male,Secondary,Employed full-time,Urban,Never,Personal Assistant,8,3,Agree,1,1.98,0,0,1,7,1,1
SRV-00-2023-0071,United States,High income,2023,25-34,Female,Secondary,Self-employed,Rural,Weekly,None,7,5,Strongly disagree,1,36.22,0,0,1,8,1,1
SRV-00-2023-0072,United States,High income,2023,18-24,Female,Secondary,Employed part-time,Urban,Several times/week,Personal Assistant,7,5,Strongly agree,1,0.0,0,0,1,8,1,0
SRV-00-2023-0073,United States,High income,2023,35-44,Male,Vocational,Employed part-time,Urban,Daily,Research,4,6,Strongly agree,0,18.34,1,0,1,7,0,0
SRV-00-2023-0074,United States,High income,2023,18-24,Male,Secondary,Student,Rural,Rarely,Coding,5,4,Disagree,1,0.0,1,0,1,7,1,0
SRV-00-2023-0075,United States,High income,2023,35-44,Female,Vocational,Employed full-time,Urban,Monthly,Personal Assistant,6,5,Strongly agree,0,20.31,0,0,1,6,1,1
SRV-00-2023-0076,United States,High income,2023,35-44,Prefer not to say,Primary,Self-employed,Rural,Daily,Work/Productivity,5,6,Agree,1,0.0,1,0,1,8,0,0
SRV-00-2023-0077,United States,High income,2023,35-44,Female,Master,Student,Urban,Several times/week,Entertainment,7,3,Agree,1,18.15,0,0,1,5,0,0
SRV-00-2023-0078,United States,High income,2023,25-34,Male,Primary,Self-employed,Suburban,Daily,Entertainment,8,2,Agree,1,26.1,0,0,1,5,0,1
SRV-00-2023-0079,United States,High income,2023,25-34,Female,Secondary,Employed full-time,Rural,Rarely,Coding,6,4,Neutral,1,0.0,0,0,1,8,1,1
SRV-00-2023-0080,United States,High income,2023,18-24,Male,Secondary,Employed full-time,Suburban,Daily,Education/Learning,6,5,Strongly agree,0,0.0,0,0,1,5,1,0
SRV-00-2023-0081,United States,High income,2023,45-54,Female,Vocational,Employed part-time,Urban,Weekly,Personal Assistant,9,5,Disagree,0,6.79,0,0,1,5,1,0
SRV-00-2023-0082,United States,High income,2023,35-44,Male,Master,Employed full-time,Rural,Daily,Education/Learning,8,4,Strongly agree,1,0.0,0,0,1,8,1,1
SRV-00-2023-0083,United States,High income,2023,18-24,Male,Primary,Employed full-time,Rural,Rarely,Entertainment,6,8,Disagree,1,1.37,0,0,1,9,1,0
SRV-00-2023-0084,United States,High income,2023,35-44,Female,Secondary,Self-employed,Suburban,Several times/week,Education/Learning,4,4,Strongly agree,0,16.66,0,0,0,7,0,0
SRV-00-2023-0085,United States,High income,2023,35-44,Male,Bachelor,Student,Rural,Weekly,Work/Productivity,8,4,Strongly agree,1,0.0,0,0,1,4,1,1
SRV-00-2023-0086,United States,High income,2023,25-34,Female,Bachelor,Student,Urban,Monthly,Personal Assistant,5,7,Agree,0,0.0,0,0,1,8,1,0
SRV-00-2023-0087,United States,High income,2023,18-24,Male,Vocational,Unemployed,Urban,Weekly,Creative Projects,7,5,Agree,0,0.0,0,0,1,4,1,1
SRV-00-2023-0088,United States,High income,2023,45-54,Female,PhD,Employed full-time,Urban,Never,Research,10,3,Agree,1,3.98,0,1,1,4,1,0
SRV-00-2023-0089,United States,High income,2023,35-44,Female,Bachelor,Student,Urban,Rarely,Healthcare Info,5,1,Strongly disagree,1,0.0,1,0,1,6,0,0
SRV-00-2023-0090,United States,High income,2023,25-34,Male,Primary,Employed full-time,Urban,Monthly,Education/Learning,8,2,Agree,1,12.05,0,0,1,3,1,0
SRV-00-2023-0091,United States,High income,2023,25-34,Female,Bachelor,Employed part-time,Urban,Daily,Entertainment,9,2,Neutral,0,8.16,0,0,1,9,1,0
SRV-00-2023-0092,United States,High income,2023,35-44,Female,Vocational,Employed full-time,Urban,Weekly,Healthcare Info,6,5,Agree,0,0.0,0,0,1,5,1,1
SRV-00-2023-0093,United States,High income,2023,65+,Female,Primary,Employed part-time,Urban,Rarely,Creative Projects,7,5,Agree,0,7.4,1,0,1,8,1,0
SRV-00-2023-0094,United States,High income,2023,18-24,Female,Master,Retired,Urban,Several times/week,Personal Assistant,4,3,Agree,1,6.74,0,0,1,5,1,0
SRV-00-2023-0095,United States,High income,2023,55-64,Prefer not to say,Master,Retired,Urban,Several times/week,Education/Learning,7,1,Strongly agree,0,0.0,0,0,1,6,0,0
SRV-00-2023-0096,United States,High income,2023,35-44,Female,Bachelor,Self-employed,Urban,Daily,Creative Projects,8,6,Strongly agree,0,4.69,0,0,1,9,1,0
SRV-00-2023-0097,United States,High income,2023,55-64,Male,Secondary,Student,Urban,Never,Healthcare Info,5,5,Neutral,0,0.36,0,0,1,10,0,0
SRV-00-2023-0098,United States,High income,2023,35-44,Male,Secondary,Student,Rural,Daily,Coding,4,4,Neutral,0,0.0,0,0,1,8,1,0
SRV-00-2023-0099,United States,High income,2023,45-54,Female,Master,Employed part-time,Urban,Rarely,Work/Productivity,7,3,Neutral,1,19.83,0,0,1,9,0,1
SRV-00-2023-0100,United States,High income,2023,35-44,Female,Bachelor,Unemployed,Rural,Monthly,Personal Assistant,8,5,Agree,0,27.39,0,1,1,7,1,0
SRV-00-2023-0101,United States,High income,2023,25-34,Prefer not to say,Primary,Employed full-time,Urban,Weekly,Healthcare Info,6,1,Neutral,0,2.7,1,0,1,7,1,0
SRV-00-2023-0102,United States,High income,2023,35-44,Male,Secondary,Employed full-time,Rural,Daily,Personal Assistant,8,3,Neutral,1,21.21,0,0,1,7,1,0
SRV-00-2023-0103,United States,High income,2023,25-34,Female,Primary,Student,Rural,Rarely,Creative Projects,8,6,Agree,1,7.62,0,0,1,8,1,0
SRV-00-2023-0104,United States,High income,2023,35-44,Female,Vocational,Employed part-time,Urban,Several times/week,Coding,8,7,Agree,0,0.0,0,0,1,5,1,0
SRV-00-2023-0105,United States,High income,2023,35-44,Male,Secondary,Employed full-time,Urban,Daily,None,8,5,Agree,1,38.87,0,0,1,1,1,0
SRV-00-2023-0106,United States,High income,2023,25-34,Female,Vocational,Homemaker,Suburban,Several times/week,Education/Learning,5,5,Neutral,0,0.0,0,0,1,6,1,0
SRV-00-2023-0107,United States,High income,2023,45-54,Male,No formal,Employed part-time,Rural,Weekly,Education/Learning,3,4,Neutral,0,48.27,0,0,1,9,1,0
SRV-00-2023-0108,United States,High income,2023,25-34,Male,Bachelor,Employed full-time,Urban,Daily,Healthcare Info,8,1,Neutral,0,7.99,1,0,1,6,1,0
SRV-00-2023-0109,United States,High income,2023,35-44,Male,Bachelor,Self-employed,Urban,Daily,Creative Projects,5,4,Agree,0,15.34,0,0,1,5,0,1
SRV-00-2023-0110,United States,High income,2023,65+,Female,No formal,Homemaker,Urban,Daily,Research,10,1,Neutral,1,25.89,0,0,1,8,0,1
SRV-00-2023-0111,United States,High income,2023,55-64,Female,Vocational,Employed full-time,Urban,Daily,Research,1,3,Agree,1,9.44,0,0,1,7,1,0
SRV-00-2023-0112,United States,High income,2023,18-24,Male,Vocational,Employed full-time,Suburban,Daily,Education/Learning,7,5,Strongly agree,0,0.0,0,0,1,7,1,1
SRV-00-2023-0113,United States,High income,2023,25-34,Female,Master,Employed full-time,Suburban,Monthly,Healthcare Info,3,2,Agree,1,0.0,0,0,1,5,1,0
SRV-00-2023-0114,United States,High income,2023,65+,Male,Master,Employed full-time,Urban,Daily,Work/Productivity,1,6,Agree,0,10.39,1,1,1,7,0,0
SRV-00-2023-0115,United States,High income,2023,35-44,Male,Vocational,Employed full-time,Suburban,Daily,Education/Learning,5,6,Strongly agree,1,0.0,0,0,1,3,1,1
SRV-00-2023-0116,United States,High income,2023,45-54,Female,Master,Homemaker,Urban,Daily,None,6,10,Strongly agree,1,20.95,0,0,1,6,0,0
SRV-00-2023-0117,United States,High income,2023,35-44,Female,Master,Employed part-time,Suburban,Weekly,None,10,4,Strongly agree,0,0.04,1,0,1,10,0,1
SRV-00-2023-0118,United States,High income,2023,55-64,Female,Secondary,Retired,Suburban,Several times/week,Personal Assistant,4,7,Agree,0,21.75,0,0,1,10,1,1
SRV-00-2023-0119,United States,High income,2023,65+,Male,Bachelor,Self-employed,Urban,Rarely,Entertainment,9,5,Agree,1,12.44,0,0,1,8,0,0
SRV-00-2023-0120,United States,High income,2023,55-64,Female,Secondary,Homemaker,Urban,Never,Work/Productivity,9,1,Neutral,1,0.0,0,0,1,9,1,0
SRV-00-2023-0121,United States,High income,2023,55-64,Male,Primary,Retired,Urban,Rarely,Work/Productivity,7,4,Strongly agree,1,3.15,0,0,1,6,1,1
SRV-00-2023-0122,United States,High income,2023,25-34,Male,Bachelor,Employed full-time,Suburban,Weekly,Research,6,5,Strongly agree,1,9.7,0,1,1,8,1,0
SRV-00-2023-0123,United States,High income,2023,55-64,Male,Secondary,Employed full-time,Rural,Weekly,Research,6,5,Agree,1,0.6,0,0,1,9,1,0
SRV-00-2023-0124,United States,High income,2023,18-24,Female,Vocational,Employed full-time,Urban,Monthly,Education/Learning,8,2,Disagree,0,0.0,0,1,1,6,1,0
SRV-00-2023-0125,United States,High income,2023,45-54,Non-binary,Secondary,Student,Urban,Several times/week,Healthcare Info,8,4,Agree,1,0.0,0,0,1,7,1,1
SRV-00-2023-0126,United States,High income,2023,25-34,Female,Bachelor,Employed full-time,Rural,Several times/week,None,5,5,Disagree,0,7.66,0,0,1,6,1,0
SRV-00-2023-0127,United States,High income,2023,65+,Male,Secondary,Employed full-time,Suburban,Rarely,Coding,7,5,Agree,1,17.42,0,0,0,9,1,1
SRV-00-2023-0128,United States,High income,2023,35-44,Male,PhD,Employed full-time,Suburban,Never,Coding,5,3,Agree,1,0.0,0,0,1,8,1,0
SRV-00-2023-0129,United States,High income,2023,55-64,Male,Bachelor,Self-employed,Urban,Several times/week,Work/Productivity,9,5,Agree,1,15.7,0,0,1,6,0,1
SRV-00-2023-0130,United States,High income,2023,45-54,Male,Vocational,Employed part-time,Urban,Rarely,Entertainment,6,3,Neutral,1,9.85,0,0,1,7,1,0
SRV-00-2023-0131,United States,High income,2023,55-64,Female,Bachelor,Employed full-time,Suburban,Monthly,None,4,6,Agree,1,18.85,1,0,1,6,1,1
SRV-00-2023-0132,United States,High income,2023,18-24,Female,Master,Student,Urban,Daily,Creative Projects,9,6,Strongly disagree,1,0.0,0,0,1,8,1,0
SRV-00-2023-0133,United States,High income,2023,65+,Female,Vocational,Employed full-time,Urban,Several times/week,None,5,5,Agree,0,11.29,0,0,1,6,0,1
SRV-00-2023-0134,United States,High income,2023,35-44,Male,Bachelor,Employed full-time,Urban,Never,Education/Learning,10,2,Agree,0,21.19,0,0,1,8,1,0
SRV-00-2023-0135,United States,High income,2023,35-44,Male,No formal,Student,Urban,Daily,Work/Productivity,7,6,Neutral,0,0.23,0,0,1,3,1,0
SRV-00-2023-0136,United States,High income,2023,18-24,Male,Bachelor,Employed part-time,Suburban,Daily,Research,7,6,Strongly agree,0,0.0,0,0,1,8,1,0
SRV-00-2023-0137,United States,High income,2023,25-34,Male,Master,Employed full-time,Urban,Never,Healthcare Info,10,4,Disagree,1,0.0,0,0,1,7,1,0
SRV-00-2023-0138,United States,High income,2023,25-34,Male,Bachelor,Employed part-time,Suburban,Weekly,Education/Learning,5,5,Agree,0,43.89,0,0,1,6,1,0
SRV-00-2023-0139,United States,High income,2023,35-44,Female,Secondary,Employed full-time,Urban,Several times/week,Creative Projects,7,6,Strongly agree,0,0.0,0,0,1,8,1,0
SRV-00-2023-0140,United States,High income,2023,45-54,Male,Secondary,Employed full-time,Urban,Daily,Work/Productivity,8,1,Agree,1,0.0,0,0,1,10,1,1
SRV-00-2023-0141,United States,High income,2023,55-64,Female,PhD,Employed full-time,Urban,Daily,Personal Assistant,10,5,Strongly agree,1,6.05,1,1,1,9,1,1
SRV-00-2023-0142,United States,High income,2023,18-24,Female,Bachelor,Unemployed,Urban,Daily,Entertainment,6,3,Strongly agree,1,33.91,0,0,1,9,1,0
SRV-00-2023-0143,United States,High income,2023,45-54,Male,Primary,Employed full-time,Suburban,Monthly,Entertainment,10,9,Strongly disagree,1,0.94,0,0,1,4,1,0
SRV-00-2023-0144,United States,High income,2023,35-44,Male,Primary,Unemployed,Urban,Never,Personal Assistant,9,7,Strongly agree,0,23.43,1,0,1,9,0,1
SRV-00-2023-0145,United States,High income,2023,35-44,Female,Secondary,Self-employed,Suburban,Weekly,Healthcare Info,10,3,Neutral,0,13.68,0,0,1,8,1,1
SRV-00-2023-0146,United States,High income,2023,65+,Female,PhD,Employed full-time,Rural,Daily,Entertainment,10,2,Strongly agree,1,22.28,0,0,0,9,0,1
SRV-00-2023-0147,United States,High income,2023,35-44,Female,Vocational,Employed part-time,Rural,Never,Healthcare Info,9,5,Disagree,1,43.44,0,0,1,6,1,1
SRV-00-2023-0148,United States,High income,2023,55-64,Male,Bachelor,Employed part-time,Rural,Several times/week,Education/Learning,5,5,Strongly agree,0,2.49,1,0,1,7,1,1
SRV-00-2023-0149,United States,High income,2023,35-44,Female,Bachelor,Employed full-time,Urban,Rarely,Research,4,5,Agree,1,0.0,0,0,1,8,1,1
SRV-00-2023-0150,United States,High income,2023,18-24,Male,No formal,Student,Urban,Daily,Work/Productivity,4,5,Agree,1,35.85,0,0,1,9,1,1
SRV-00-2023-0151,United States,High income,2023,18-24,Male,Bachelor,Student,Rural,Several times/week,Creative Projects,5,4,Neutral,1,40.96,0,0,1,7,1,0
SRV-00-2023-0152,United States,High income,2023,45-54,Male,Secondary,Employed full-time,Suburban,Several times/week,Healthcare Info,5,2,Strongly agree,0,26.43,0,0,1,8,1,1
SRV-00-2023-0153,United States,High income,2023,45-54,Female,Bachelor,Employed full-time,Rural,Several times/week,Coding,7,3,Agree,1,0.72,0,0,1,6,1,0
SRV-00-2023-0154,United States,High income,2023,65+,Male,Primary,Employed full-time,Urban,Daily,Research,6,7,Strongly agree,1,0.0,0,0,1,6,1,0
SRV-00-2023-0155,United States,High income,2023,55-64,Male,Bachelor,Employed part-time,Rural,Rarely,Work/Productivity,5,2,Agree,1,31.01,0,0,1,9,1,1
SRV-00-2023-0156,United States,High income,2023,35-44,Female,Primary,Employed full-time,Urban,Daily,Coding,6,3,Agree,1,46.94,0,0,1,10,0,0
SRV-00-2023-0157,United States,High income,2023,18-24,Male,Secondary,Retired,Rural,Several times/week,None,8,7,Strongly agree,0,0.0,0,0,0,6,1,1
SRV-00-2023-0158,United States,High income,2023,35-44,Non-binary,Bachelor,Employed full-time,Urban,Daily,None,8,3,Strongly agree,1,1.11,0,0,1,7,1,0
SRV-00-2023-0159,United States,High income,2023,18-24,Male,Bachelor,Self-employed,Urban,Daily,Coding,5,6,Strongly agree,0,0.0,1,0,1,6,0,1
SRV-00-2023-0160,United States,High income,2023,55-64,Female,Secondary,Self-employed,Suburban,Never,Creative Projects,5,8,Strongly agree,1,1.62,0,0,1,6,0,0
SRV-00-2023-0161,United States,High income,2023,35-44,Male,Bachelor,Employed part-time,Urban,Daily,Creative Projects,7,4,Strongly agree,1,6.81,1,0,1,9,1,1
SRV-00-2023-0162,United States,High income,2023,35-44,Female,Master,Employed full-time,Rural,Daily,Healthcare Info,5,3,Disagree,1,30.48,1,0,1,8,1,0
SRV-00-2023-0163,United States,High income,2023,65+,Female,Master,Employed full-time,Suburban,Daily,None,8,6,Neutral,1,1.36,0,0,1,6,1,0
SRV-00-2023-0164,United States,High income,2023,45-54,Male,Secondary,Employed full-time,Urban,Rarely,Work/Productivity,10,3,Strongly agree,1,0.0,0,0,0,9,0,1
SRV-00-2023-0165,United States,High income,2023,18-24,Female,Secondary,Employed full-time,Urban,Weekly,Entertainment,5,6,Strongly agree,0,113.96,0,0,1,6,1,1
SRV-00-2023-0166,United States,High income,2023,45-54,Male,Bachelor,Retired,Rural,Weekly,Entertainment,10,6,Disagree,0,0.0,0,0,0,6,0,0
SRV-00-2023-0167,United States,High income,2023,35-44,Female,Bachelor,Retired,Urban,Several times/week,Research,6,4,Strongly agree,1,20.61,0,0,1,7,1,1
