country,region,income_group,currency,population,primary_language,year,genai_adoption_rate_pct,enterprise_adoption_pct,consumer_adoption_pct,sme_adoption_pct,government_adoption_pct,llm_usage_pct,image_gen_usage_pct,code_gen_usage_pct,voice_ai_usage_pct,video_gen_usage_pct,gdp_contribution_bn_usd,productivity_gain_pct,job_displacement_pct,job_creation_pct,net_job_impact_pct,genai_startups_count,vc_investment_mn_usd,has_national_ai_strategy,regulation_stringency_score,data_privacy_score,copyright_clarity_score,deepfake_law_exists,ai_liability_framework_exists,mandatory_ai_disclosure_law,govt_genai_budget_mn_usd,ai_literacy_score,university_ai_programs_count,k12_ai_curriculum_exists,genai_workforce_pct,reskilling_programs_count,internet_penetration_pct,cloud_readiness_score,gpu_compute_per_1k_usd,avg_internet_speed_mbps,mobile_ai_penetration_pct,public_trust_score,ai_anxiety_index,misinformation_risk_index,deepfake_incidents_reported,genai_used_in_elections,public_debate_maturity_score,native_lang_llm_support,low_resource_language_country,digital_divide_index,gender_ai_gap_score,rural_urban_ai_gap_score,genai_papers_published,genai_patents_filed,intl_ai_collaboration_score,healthcare_genai_adoption_pct,education_genai_adoption_pct,finance_genai_adoption_pct,media_genai_adoption_pct,legal_genai_adoption_pct,agriculture_genai_adoption_pct,global_genai_index_score
India,South Asia,Lower-middle income,INR,1428000000,Hindi/English,2025,44.11,28.48,33.67,25.36,15.58,41.51,32.53,27.83,23.59,13.75,1476.13,8.56,5.87,2.53,-3.33,2545,1762.44,1,27.18,21.1,0.0,1,0,1,392.05,11.37,121,0,2.4,13,36.11,29.45,2.004,160.7,31.98,39.18,58.47,73.01,1070,1,10.95,1,1,65.01,23.92,77.85,1569,408,30.57,30.52,29.48,33.45,28.94,28.44,14.89,11.64
Germany,Europe,High income,EUR,84000000,German,2022,56.43,37.95,46.93,26.88,19.99,53.05,29.21,19.6,24.5,16.14,91.14,11.94,5.73,1.59,-4.14,137,308.11,1,36.75,59.06,49.26,0,0,0,53.57,45.03,12,1,23.32,3,75.06,70.66,1.987,231.2,40.69,79.91,21.16,95.0,15,0,52.4,1,1,22.1,23.21,33.92,67,50,59.91,24.62,33.5,45.67,48.34,33.96,13.31,19.55
Germany,Europe,High income,EUR,84000000,German,2023,63.65,47.41,60.06,31.3,15.15,56.38,26.75,38.77,17.56,12.2,93.24,7.55,4.3,4.91,0.61,147,483.36,1,49.17,74.48,60.57,0,0,0,50.31,27.45,19,1,15.64,8,70.63,50.86,3.32,136.6,48.86,82.25,25.14,70.53,50,0,73.3,1,0,26.94,30.91,45.35,196,27,45.17,31.75,44.43,40.44,54.07,24.84,11.55,17.16
Germany,Europe,High income,EUR,84000000,German,2024,80.39,46.19,52.95,36.64,40.88,62.0,36.05,36.83,20.31,32.59,78.34,10.22,10.55,2.02,-8.53,72,317.32,1,67.96,69.38,51.95,1,1,0,104.69,37.01,7,1,22.49,10,67.24,60.35,5.604,212.2,59.02,78.19,12.28,67.22,61,0,69.74,1,0,38.6,47.32,33.14,81,6,52.58,36.12,43.2,55.13,58.08,50.77,36.89,20.84
Germany,Europe,High income,EUR,84000000,German,2025,80.99,61.15,65.09,50.02,19.51,71.89,37.84,27.66,44.07,15.03,207.95,11.12,9.91,6.6,-3.31,308,1109.71,1,75.59,64.91,45.46,1,0,1,218.32,33.34,16,1,12.05,5,71.57,63.68,9.391,241.2,51.1,81.74,21.57,54.57,47,1,53.51,1,0,26.24,31.4,29.58,137,70,42.88,41.76,40.84,54.02,54.57,30.92,24.65,21.31
United Kingdom,Europe,High income,GBP,67000000,English,2022,49.56,27.68,33.98,25.95,18.75,44.74,36.86,32.04,25.53,20.6,66.46,7.84,5.22,1.55,-3.67,37,113.09,1,50.85,59.33,55.48,0,0,0,15.5,60.64,2,1,18.29,1,79.99,62.17,2.407,77.7,42.91,49.18,60.19,82.52,20,0,64.28,0,0,28.1,30.8,31.04,49,43,54.61,30.9,35.2,38.56,29.37,19.83,9.9,17.04
United Kingdom,Europe,High income,GBP,67000000,English,2023,59.36,43.86,44.24,36.21,25.67,44.24,24.41,18.34,21.37,28.75,50.72,9.98,3.6,3.62,0.02,59,66.54,1,66.42,55.88,65.37,0,0,0,9.51,52.11,14,1,16.72,4,80.93,68.6,9.605,220.1,44.84,48.08,45.19,55.46,40,0,41.97,0,0,20.6,28.01,22.59,18,16,51.53,32.02,49.18,51.15,39.41,15.69,28.58,18.98
United Kingdom,Europe,High income,GBP,67000000,English,2024,63.71,44.35,52.56,42.64,24.2,57.24,26.87,23.35,25.69,26.7,81.33,7.41,6.26,3.03,-3.23,105,145.1,1,76.74,52.13,42.84,0,1,0,167.05,58.72,16,1,21.21,10,79.67,68.46,2.113,142.4,39.81,42.46,56.18,51.78,43,0,54.94,1,0,22.82,23.8,43.39,81,50,43.71,38.73,51.03,42.79,55.81,17.04,24.92,18.16
United Kingdom,Europe,High income,GBP,67000000,English,2025,71.95,47.95,64.95,29.93,29.24,64.03,40.67,34.93,42.38,35.75,72.83,8.93,4.96,6.37,1.41,183,432.36,1,55.63,70.98,46.45,1,1,1,142.07,36.91,7,1,19.27,13,70.71,76.68,13.832,133.2,44.9,46.98,52.92,92.57,32,0,78.45,1,0,20.28,23.85,38.8,249,69,53.86,46.78,49.32,43.6,57.5,30.18,29.2,18.88
France,Europe,High income,EUR,68000000,French,2022,60.76,42.69,51.83,39.45,28.31,54.74,37.77,36.77,19.0,24.92,58.7,5.16,4.51,2.98,-1.53,63,238.57,1,53.34,75.68,38.8,0,0,0,88.55,53.22,9,0,14.55,4,69.84,83.88,5.469,234.9,39.33,67.93,24.49,68.43,10,0,50.5,1,0,31.82,20.77,41.45,65,28,77.38,29.93,39.91,39.87,43.19,35.75,11.52,18.22
France,Europe,High income,EUR,68000000,French,2023,60.8,37.57,42.62,38.26,30.44,55.88,42.01,30.52,32.55,27.93,115.33,9.53,6.97,5.75,-1.22,108,420.68,1,43.32,54.04,45.18,0,0,0,58.76,48.87,3,1,20.2,5,77.71,78.75,0.709,75.4,38.96,60.74,46.63,70.25,46,0,59.45,1,0,19.77,19.7,10.68,14,70,32.16,37.06,43.66,47.38,50.05,36.23,25.37,17.89
France,Europe,High income,EUR,68000000,French,2024,76.54,42.98,64.86,33.88,23.76,55.88,42.28,49.53,37.14,36.11,53.4,11.08,9.47,5.01,-4.46,163,628.26,1,64.25,78.79,19.64,1,1,0,36.62,56.04,8,1,19.14,1,74.51,66.17,1.678,212.0,67.09,67.61,21.6,65.34,28,0,79.27,1,0,16.54,49.49,35.42,145,5,46.22,36.15,51.09,47.66,48.44,21.31,26.6,21.57
France,Europe,High income,EUR,68000000,French,2025,78.18,62.87,65.38,32.93,39.39,71.97,44.72,37.9,32.43,35.02,75.8,15.37,10.88,4.22,-6.66,180,454.69,1,48.95,64.09,37.03,1,1,1,40.37,55.52,7,1,9.17,0,83.3,74.8,4.811,136.3,61.37,67.62,38.89,74.46,67,1,53.19,0,0,16.14,29.44,8.72,91,31,55.7,35.24,66.11,60.23,57.32,40.03,31.44,23.34
Japan,East Asia,High income,JPY,125000000,Japanese,2022,62.23,43.32,52.69,39.62,26.88,58.56,42.6,33.16,25.75,9.88,127.92,9.64,4.56,1.88,-2.68,40,32.33,1,51.56,78.17,38.84,0,0,0,104.3,57.76,20,1,23.45,3,62.78,68.89,7.784,231.0,47.59,75.42,25.97,83.46,51,0,68.25,0,0,35.97,27.02,37.62,141,100,62.19,27.55,42.81,52.39,35.84,28.57,20.3,20.18
Japan,East Asia,High income,JPY,125000000,Japanese,2023,76.82,49.35,66.48,47.67,21.71,71.8,41.05,47.3,24.45,31.82,135.6,6.65,8.75,6.17,-2.58,132,344.6,1,72.91,51.53,59.28,0,0,0,31.48,67.64,9,1,21.25,3,62.7,54.39,7.826,189.5,53.23,68.98,22.19,62.09,21,0,95.0,1,0,32.62,13.71,28.73,44,84,63.18,49.6,57.09,57.71,53.37,32.69,24.97,19.59
Japan,East Asia,High income,JPY,125000000,Japanese,2024,86.89,61.41,79.1,45.38,32.89,66.82,63.26,31.06,35.4,38.43,184.78,12.99,11.24,6.43,-4.81,416,762.84,1,50.62,71.53,47.15,0,1,0,291.63,51.99,25,1,14.8,16,60.67,57.8,2.732,162.9,59.19,76.82,24.08,65.72,12,1,64.74,1,1,37.76,33.76,26.2,241,169,36.05,67.56,71.27,58.69,68.05,49.89,38.01,22.1
Japan,East Asia,High income,JPY,125000000,Japanese,2025,81.46,67.39,66.28,42.81,29.52,71.49,42.98,39.96,22.39,24.23,281.9,14.73,5.54,6.56,1.03,478,506.85,1,58.91,49.86,67.41,1,1,0,215.98,60.47,14,1,24.21,18,59.51,64.78,8.425,193.6,57.8,81.65,15.74,53.06,108,1,65.52,1,1,42.17,37.53,30.56,459,137,56.6,64.25,58.4,62.28,44.98,23.58,24.39,23.55
South Korea,East Asia,High income,KRW,51000000,Korean,2022,59.9,37.45,40.52,26.67,32.0,53.19,34.29,26.58,33.39,21.74,65.18,11.99,7.28,5.99,-1.29,52,141.11,1,44.34,92.41,40.59,0,0,0,51.27,71.71,4,1,5.59,2,82.9,82.78,1.942,98.1,40.41,59.2,43.87,63.38,16,0,68.05,1,1,18.24,30.28,8.45,72,29,54.81,43.66,37.11,40.49,43.01,25.77,27.3,21.59
South Korea,East Asia,High income,KRW,51000000,Korean,2023,68.59,49.63,64.54,42.3,21.85,50.46,45.56,38.91,23.91,15.51,42.71,7.27,9.44,6.15,-3.29,48,55.5,1,58.87,58.25,40.53,0,0,0,44.56,58.99,6,1,13.27,5,80.85,80.26,3.113,218.0,43.69,66.6,16.14,83.0,16,0,65.96,1,0,22.32,42.45,39.27,48,17,59.3,36.77,47.92,47.84,60.28,27.76,30.1,19.19
South Korea,East Asia,High income,KRW,51000000,Korean,2024,72.77,51.65,63.86,39.56,20.7,65.35,36.71,40.77,35.55,36.27,61.62,11.48,3.0,2.55,-0.46,101,434.94,1,52.42,77.5,33.33,0,1,0,125.99,55.23,12,0,18.25,6,76.54,74.02,4.696,182.8,62.8,61.12,37.94,64.37,33,0,45.95,1,0,20.59,29.49,25.97,29,7,73.51,50.1,42.35,59.62,41.91,22.08,28.61,21.75
South Korea,East Asia,High income,KRW,51000000,Korean,2025,86.23,57.19,61.0,35.55,38.51,81.16,47.28,38.86,35.05,37.35,79.28,14.58,3.83,2.58,-1.25,105,281.54,1,81.99,59.7,21.19,1,1,0,133.81,42.29,11,1,8.03,6,78.0,68.06,10.072,176.6,62.47,69.36,33.95,62.53,40,0,62.58,1,0,21.82,16.42,41.55,186,10,79.16,50.63,63.8,59.16,52.59,24.46,34.8,24.55
Canada,North America,High income,CAD,38000000,English/French,2022,62.59,51.96,41.28,28.76,22.3,50.51,43.02,32.23,23.75,27.17,33.98,8.02,5.51,5.43,-0.09,52,138.78,1,51.44,62.09,53.94,0,0,0,55.04,78.32,9,0,12.67,6,81.69,73.64,6.877,131.1,37.96,68.63,25.76,85.31,1,0,51.42,1,0,15.91,29.29,21.18,15,9,44.11,29.56,37.05,44.89,43.2,37.19,15.14,19.24
Canada,North America,High income,CAD,38000000,English/French,2023,66.69,49.92,49.47,40.64,18.52,62.56,27.52,38.83,30.44,27.03,65.26,9.04,5.26,4.0,-1.27,38,30.44,1,48.07,49.75,51.81,0,0,0,33.82,79.74,4,0,21.88,6,74.71,68.15,3.783,251.9,41.33,73.54,31.79,79.96,1,0,70.32,1,0,27.41,16.99,14.55,59,46,85.48,34.03,50.38,57.72,41.09,33.6,28.87,20.66
Canada,North America,High income,CAD,38000000,English/French,2024,74.59,51.03,51.8,47.06,18.29,53.97,52.06,40.04,21.13,15.0,51.85,11.56,9.35,3.12,-6.23,65,54.85,1,69.98,46.86,69.43,1,1,0,49.86,67.07,5,1,16.08,4,79.77,82.85,6.324,140.7,52.11,70.98,27.45,73.41,9,0,68.16,1,0,27.37,38.21,30.06,15,13,55.69,32.92,44.9,63.58,45.23,36.34,26.45,22.27
Canada,North America,High income,CAD,38000000,English/French,2025,87.05,48.97,72.8,60.91,43.21,73.07,61.66,51.12,46.94,18.75,96.53,13.43,5.04,1.93,-3.11,77,165.3,1,60.83,63.41,44.13,1,0,1,98.21,71.98,9,1,14.85,3,72.42,77.51,1.324,204.8,69.39,72.63,24.98,60.92,39,0,35.87,1,1,27.98,27.17,48.63,33,9,73.15,67.04,69.62,72.04,64.36,25.76,42.84,24.61
Australia,Oceania,High income,AUD,26000000,English,2022,59.73,33.84,50.64,35.98,29.96,55.16,25.56,25.15,24.39,9.84,23.73,5.73,7.57,4.16,-3.41,18,53.13,1,58.34,60.67,58.62,0,0,0,16.82,59.35,5,1,12.08,1,63.33,61.75,3.858,179.7,38.26,79.12,32.77,68.97,2,0,70.14,1,0,38.18,33.2,33.21,16,20,57.49,35.33,35.73,40.4,46.17,32.16,29.15,17.71
Australia,Oceania,High income,AUD,26000000,English,2023,64.71,48.04,52.79,38.52,15.56,46.84,29.99,26.38,32.52,31.14,34.55,12.44,7.2,3.81,-3.39,20,62.52,1,62.13,68.98,38.39,0,0,0,17.42,82.1,5,1,17.14,3,53.58,53.16,4.188,148.5,51.52,87.98,6.67,61.3,16,0,41.15,1,0,43.08,25.5,46.03,27,8,57.83,32.61,49.71,46.59,48.92,19.89,21.32,22.66
Australia,Oceania,High income,AUD,26000000,English,2024,76.19,57.65,60.59,31.99,27.77,56.37,51.66,36.92,32.85,37.77,49.11,10.47,3.32,4.62,1.3,66,147.88,1,62.39,65.63,26.36,1,1,0,43.22,82.52,7,1,15.82,2,59.0,60.36,10.223,154.6,52.16,82.48,14.0,55.42,2,1,59.59,0,1,43.28,22.23,28.15,55,14,54.64,36.93,63.01,53.32,42.39,23.86,30.25,22.29
Australia,Oceania,High income,AUD,26000000,English,2025,79.36,60.62,54.41,43.54,42.74,63.41,57.78,46.24,33.56,17.84,67.15,12.66,6.72,7.42,0.7,78,292.03,1,68.94,64.41,30.93,0,1,1,49.96,76.8,3,1,15.88,4,58.66,51.53,5.725,199.8,61.02,83.2,19.0,77.88,1,1,55.26,1,0,43.08,23.67,32.06,39,33,36.38,60.19,47.86,49.58,62.14,49.33,22.08,22.93
Brazil,Latin America,Upper-middle income,BRL,215000000,Portuguese,2022,43.84,26.42,33.29,28.45,16.27,37.79,29.39,13.42,19.35,16.96,121.84,5.09,4.38,3.04,-1.34,270,481.84,1,34.82,33.77,20.04,0,0,0,215.62,29.68,22,0,10.48,27,33.22,15.17,1.527,222.0,29.35,34.59,71.07,85.47,24,0,22.46,1,1,60.78,17.06,48.73,86,62,46.15,22.58,35.46,36.46,37.5,19.61,10.99,11.08
Brazil,Latin America,Upper-middle income,BRL,215000000,Portuguese,2023,53.43,41.14,45.38,26.46,14.24,43.04,29.4,29.09,28.2,22.72,235.62,5.14,2.89,2.36,-0.54,235,415.25,1,36.93,74.91,29.63,0,0,0,292.83,22.78,13,1,7.49,25,30.59,32.05,5.588,158.3,45.97,44.65,60.69,81.55,43,0,49.33,0,1,71.6,9.59,59.41,98,37,28.76,30.61,29.67,45.49,42.17,15.37,13.15,12.82
Brazil,Latin America,Upper-middle income,BRL,215000000,Portuguese,2024,54.45,42.69,49.44,29.48,13.26,51.4,37.57,25.6,28.06,17.8,344.82,7.74,4.79,5.12,0.33,396,901.14,1,41.34,34.78,27.82,1,1,0,129.45,34.34,24,1,12.3,16,33.78,26.54,8.231,105.5,42.53,40.25,58.39,81.14,26,0,37.93,1,0,59.59,7.83,60.69,338,171,31.65,40.28,35.88,48.83,44.35,21.08,21.99,13.61
Brazil,Latin America,Upper-middle income,BRL,215000000,Portuguese,2025,66.55,52.63,47.97,35.24,29.81,55.41,43.1,26.66,32.06,30.93,168.51,14.78,8.69,3.01,-5.68,368,388.99,1,54.52,39.58,53.89,1,1,1,152.66,23.72,37,1,7.46,19,30.96,22.56,4.077,130.9,41.52,42.49,54.47,76.23,155,0,34.45,0,0,76.65,18.61,41.22,43,142,40.38,34.88,48.2,50.19,40.38,37.33,31.61,18.34
Mexico,Latin America,Upper-middle income,MXN,127000000,Spanish,2022,38.5,24.87,34.19,24.31,12.58,34.2,21.63,19.66,11.85,12.27,74.26,3.64,2.07,2.78,0.71,77,111.69,1,38.95,53.9,35.39,0,0,0,65.4,24.25,15,0,3.22,7,26.02,19.65,1.654,133.2,29.37,48.36,49.21,85.66,5,0,33.59,1,1,64.06,16.05,63.32,22,14,26.44,16.27,25.22,34.28,29.92,21.59,15.69,10.43
Mexico,Latin America,Upper-middle income,MXN,127000000,Spanish,2023,42.72,31.25,30.84,20.49,18.13,35.61,23.31,20.32,16.79,20.91,141.87,6.38,3.44,2.14,-1.3,192,166.47,1,34.68,40.13,34.33,0,0,0,89.88,18.43,18,1,16.56,15,22.77,36.46,2.682,82.7,35.1,51.12,47.31,71.8,36,0,16.11,1,1,86.87,22.57,49.95,140,24,54.11,21.95,24.0,37.25,36.87,20.48,15.92,12.55
Mexico,Latin America,Upper-middle income,MXN,127000000,Spanish,2024,46.98,34.09,41.05,22.83,22.67,36.45,25.88,19.8,14.21,8.35,131.22,4.25,2.77,2.43,-0.33,174,99.98,1,56.06,53.52,24.78,1,1,0,51.15,22.46,2,1,11.11,0,21.69,5.0,5.802,127.8,34.98,45.67,48.07,94.73,83,1,25.48,0,0,77.26,15.66,49.85,34,94,24.93,33.54,30.87,35.02,32.35,12.47,14.84,11.38
Mexico,Latin America,Upper-middle income,MXN,127000000,Spanish,2025,43.43,27.34,37.05,28.13,13.47,36.48,29.35,21.97,12.48,13.33,160.37,5.22,3.56,4.09,0.53,134,201.99,1,65.52,31.68,12.33,1,0,0,199.24,20.73,18,1,11.79,13,21.67,31.06,7.51,100.2,36.14,50.83,45.03,71.59,41,0,55.2,0,1,79.54,25.37,52.01,22,94,47.55,23.25,23.57,32.16,32.99,19.83,9.48,12.75
Argentina,Latin America,Upper-middle income,ARS,46000000,Spanish,2022,30.51,22.95,26.71,18.79,13.76,25.47,22.06,17.6,16.96,5.34,16.44,2.2,2.29,2.27,-0.02,22,56.47,1,39.47,28.77,44.32,0,0,0,35.91,42.83,8,1,12.3,0,50.48,55.84,0.422,41.6,27.09,27.89,63.34,87.1,7,0,22.24,0,0,51.37,6.8,50.08,52,0,27.13,18.76,19.16,23.38,20.38,8.27,12.0,9.71
Argentina,Latin America,Upper-middle income,ARS,46000000,Spanish,2023,37.15,23.69,34.53,21.33,8.76,28.6,18.06,16.03,12.57,12.12,39.13,4.26,3.54,1.71,-1.82,52,37.22,1,35.31,58.03,26.58,0,0,0,47.4,36.93,3,1,8.4,4,55.73,53.29,6.587,121.5,27.93,29.95,62.75,85.14,1,0,65.46,1,0,35.97,18.83,53.45,26,11,31.55,25.51,28.0,28.5,28.8,15.11,14.61,11.63
Argentina,Latin America,Upper-middle income,ARS,46000000,Spanish,2024,38.29,30.6,28.46,20.2,8.61,28.71,22.0,24.59,20.31,11.74,34.44,5.43,3.83,3.61,-0.22,51,90.32,1,53.06,50.86,20.25,1,1,0,43.63,37.64,7,1,10.19,1,53.02,61.16,4.933,195.9,27.78,29.98,72.24,64.19,4,0,60.5,0,1,35.07,19.91,50.13,53,8,40.47,29.38,23.52,32.42,26.13,19.93,17.67,13.24
Argentina,Latin America,Upper-middle income,ARS,46000000,Spanish,2025,37.81,31.62,34.48,15.69,19.47,27.82,21.97,21.96,14.37,14.85,54.52,5.96,2.42,1.42,-0.99,62,33.39,1,53.46,37.88,0.0,1,1,0,35.64,21.53,3,0,12.7,1,54.58,59.89,3.401,89.4,26.94,27.91,73.53,80.14,40,0,35.2,1,0,42.73,24.21,74.75,76,11,14.71,22.66,25.86,28.03,24.66,9.58,5.97,11.81
South Africa,Sub-Saharan Africa,Upper-middle income,ZAR,60000000,Zulu/English,2022,41.91,35.5,38.99,21.03,13.77,32.14,27.51,20.4,21.16,19.73,61.09,6.39,4.15,3.29,-0.86,73,45.6,1,38.99,43.24,40.49,0,0,0,69.59,29.62,3,1,19.98,5,40.0,43.47,3.945,204.4,36.18,43.71,58.17,77.33,3,0,49.91,0,1,59.99,15.97,74.82,46,24,42.27,18.79,34.97,25.73,32.07,17.82,9.11,12.86
South Africa,Sub-Saharan Africa,Upper-middle income,ZAR,60000000,Zulu/English,2023,43.04,36.01,28.24,28.83,17.92,35.51,25.98,27.44,20.47,11.66,57.05,4.01,5.97,3.56,-2.41,88,230.56,1,39.08,45.63,43.27,0,0,0,45.44,29.73,4,1,7.39,2,36.8,29.31,4.86,137.0,30.92,41.8,57.42,88.69,17,0,34.42,1,0,55.79,16.77,38.77,47,45,54.3,17.74,21.66,35.79,37.25,13.08,9.07,11.7
South Africa,Sub-Saharan Africa,Upper-middle income,ZAR,60000000,Zulu/English,2024,52.67,31.23,44.14,22.78,28.58,48.59,31.87,20.67,27.86,25.4,70.43,10.23,6.0,2.69,-3.31,107,200.9,1,42.35,47.77,37.69,0,0,0,66.68,26.57,5,0,9.3,1,41.14,36.55,6.623,108.9,34.25,44.52,53.09,84.38,32,1,30.95,0,1,51.38,20.17,58.39,62,11,30.43,27.6,30.95,37.14,44.49,14.51,15.67,15.16
South Africa,Sub-Saharan Africa,Upper-middle income,ZAR,60000000,Zulu/English,2025,58.39,37.42,40.72,24.86,27.1,49.63,38.99,24.91,16.26,20.68,58.43,9.17,3.87,4.47,0.6,72,84.81,1,37.2,37.36,17.36,0,1,1,91.7,30.05,10,1,18.83,2,40.1,31.8,1.162,129.8,46.38,42.15,52.39,91.59,15,1,39.58,1,0,65.87,13.63,66.23,54,7,35.56,28.15,35.22,42.84,38.97,26.13,18.68,14.61
